词,类型,词性,释义,来源册,来源单元,音标,备注
harvest,单词,n.,收成；收获季节,九上,U3,/ˈhɑːvɪst/,
celebrate,单词,v.,庆祝,九上,U3,/ˈselɪbreɪt/,
corn,单词,n.,玉米；谷物,九上,U1,/kɔːn/,
club,单词,n.,俱乐部,九上,U4,/klʌb/,
campus,单词,n.,校园,,,/ˈkæmpəs/,
pioneer,课标词,n.,先锋；开拓者,,,/ˌpaɪəˈnɪə/,课标词类型示例
ability,课标词,n.,能力；才能,,,/əˈbɪləti/,
butterfly,课标词,n.,蝴蝶,,,/ˈbʌtəflaɪ/,
fall asleep,单词,phr.,入睡,八下,U6,,多词短语示例（token 级不参与命中，仅演示格式）
windmill,待定词,n.,风车,,,/ˈwɪndmɪl/,书级术语候选
meadow,待定词,n.,草地；牧场,,,/ˈmedəʊ/,
harness,待定词,n.,马具；背带,,,/ˈhɑːnɪs/,
shepherd,待定词,n.,牧羊人,,,/ˈʃepəd/,
oak,待定词,n.,橡树,,,/əʊk/,
